EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     13              15          0.866667

Graph Name                              Results  Reason
------------------------------------  ---------  ----------------------
idDesk1_subgraph                            800  Successfully generated
idDrawer1_subgraph                          640  Successfully generated
idGameRoom1BackOpening_subgraph              30  Successfully generated
idGameRoom1_subgraph                        360  Successfully generated
idKeyBlue_subgraph                           10  Successfully generated
idPlayerBackside_subgraph                   288  Successfully generated
idPlayerLeftHand_subgraph                  1206  Successfully generated
idPlayerRightHand_subgraph                  296  Successfully generated
idPlayer_subgraph                             0  Graph contains cycles
idSign1Text_subgraph                         12  Successfully generated
idSign1_subgraph                            671  Successfully generated
idTutorialRoom1Door_subgraph                  0  Graph contains cycles
idTutorialRoom1FrontOpening_subgraph         30  Successfully generated
idTutorialRoom1_subgraph                   1200  Successfully generated
idWorld1_subgraph                          1376  Successfully generated

Graph Component    Metric      Successful    Total    Coverage
idDesk1_subgraph_idUnknownObject_2            False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idDesk1_subgraph_idUnknownObject_3            False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idDesk1_subgraph_isNorthOf_4                  True            MRS composed                               True               Included in MRS
idDesk1_subgraph_isSouthOf_5                  True            MRS composed                               True               Included in MRS
idDrawer1_subgraph_idColor_2                  True            MRS composed                               True               Included in MRS
idDrawer1_subgraph_idOpenState_1              True            MRS composed                               True               Included in MRS
idDrawer1_subgraph_idUnknownObject_3          False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idDrawer1_subgraph_isBeneath_5                True            MRS composed                               True               Included in MRS
idDrawer1_subgraph_isNear_4                   True            MRS composed                               True               Included in MRS
idDrawer1_subgraph_isSouthOf_6                True            MRS composed                               True               Included in MRS
idDrawer1_subgraph_isSouthOf_7                True            MRS composed                               True               Included in MRS
idGameRoom1_subgraph_idUnknownObject_1        False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idGameRoom1_subgraph_isNorthOf_2              True            MRS composed                               True               Included in MRS
