EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     13              16            0.8125

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idBottle1_subgraph               1630  Successfully generated
idBranch1_subgraph               2103  Successfully generated
idCave1_subgraph                   60  Successfully generated
idClearing1_subgraph              500  Successfully generated
idGlowingArea1_subgraph           624  Successfully generated
idGlowingFlower1_subgraph          90  Successfully generated
idGlowingGrass1_subgraph         2616  Successfully generated
idGrass1_subgraph                2304  Successfully generated
idPebble1_subgraph                700  Successfully generated
idPlayerBackside_subgraph         800  Successfully generated
idPlayerLeftHand_subgraph           0  Graph contains cycles
idPlayerRightHand_subgraph         96  Successfully generated
idPlayer_subgraph                2000  Successfully generated
idRockPile1_subgraph             1152  Successfully generated
idRockyArea1_subgraph               0  Graph contains cycles
idTheTrees1_subgraph                0  Graph contains cycles

Graph Component    Metric      Successful    Total    Coverage
idPlayerBackside_subgraph_idCave_2              True            MRS fragment produced                      True               Included in MRS
idPlayerBackside_subgraph_idPlayerBackside_1    True            MRS fragment produced                      True               Included in MRS
idPlayerBackside_subgraph_idRockyArea_3         True            MRS fragment produced                      True               Included in MRS
idPlayerRightHand_subgraph_idPlayerRightHand_1  True            MRS fragment produced                      True               Included in MRS
idPlayerRightHand_subgraph_right_2              True            MRS fragment produced                      True               Included in MRS
idPlayer_subgraph_brown_3                       True            MRS fragment produced                      True               Included in MRS
idPlayer_subgraph_false_2                       True            MRS fragment produced                      False              Descends from failed edge
idPlayer_subgraph_idBottle_2                    True            MRS fragment produced                      True               Included in MRS
idPlayer_subgraph_idPlayer_1                    True            MRS fragment produced                      True               Included in MRS
idPlayer_subgraph_idRockyArea_2                 True            MRS fragment produced                      True               Included in MRS
idPlayer_subgraph_rocky_3                       True            MRS fragment produced                      True               Included in MRS
idPlayer_subgraph_shiny_3                       True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_bumpy_2                    True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_grassy_3                   True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_grey_2                     True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_idCave_3                   True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_idClearing_2               True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_idRockPile_1               True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_idRockyArea_2              True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_rocky_3                    True            MRS fragment produced                      True               Included in MRS
idRockPile1_subgraph_yes_2                      True            MRS fragment produced                      True               Included in MRS

Edge                                         MRS Composed    Reason                                   Included in MRS    Reason
-------------------------------------------  --------------  ---------------------------------------  -----------------  ---------------------------------------
idBottle1_subgraph_idBottleFound_4           False           'idBottleFound' has no value in lexicon  False              'idBottleFound' has no value in lexicon
idBottle1_subgraph_idColor_3                 True            MRS composed                             True               Included in MRS
