EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     26              29          0.896552

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idArea1_subgraph                   48  Successfully generated
idBear1_subgraph                 1133  Successfully generated
idCrowbar1_subgraph_cool_3                      True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_idCrowbar_1                 True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_idSideMirror_8              True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_idStump_5                   True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_true_4                      True            MRS fragment produced                   False              Descends from failed edge
idCrowbar1_subgraph_yes_6                       True            MRS fragment produced                   False              Descends from failed edge
idDen1_subgraph_idDen_1                         True            MRS fragment produced                   True               Included in MRS
idHorse1_subgraph_idHorse_1                     True            MRS fragment produced                   True               Included in MRS
idHorse1_subgraph_silver_2                      True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_green_4                        True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_idBush_3                       True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_idLock_1                       True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_locked_2                       True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_yes_5                          True            MRS fragment produced                   False              Descends from failed edge
idMan1_subgraph_familiar_4                      True            MRS fragment produced                   True               Included in MRS
idMan1_subgraph_idMan_1                         True            MRS fragment produced                   True               Included in MRS
idMan1_subgraph_true_2                          True            MRS fragment produced                   False              Descends from failed edge
idMan1_subgraph_yes_3                           True            MRS fragment produced                   False              Descends from failed edge
idPassenger1_subgraph_idPassenger_1             True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_bushy_3               True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_chopped_6             True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_hollow_7              True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idArea_4              True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idClearing_2          True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idPlayerBackside_1    True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idStump_5             True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idWhistle_8           True            MRS fragment produced                   True               Included in MRS
idPlayerLeftHand_subgraph_broken_5              True            MRS fragment produced                   True               Included in MRS
idPlayerLeftHand_subgraph_idFace_4              False           'idFace' has no value in the lexicon    False              'idFace' has no value in the lexicon
idPlayerLeftHand_subgraph_idLocalLeft_2         True            MRS fragment produced                   True               Included in MRS
idPlayerLeftHand_subgraph_idPlayerLeftHand_1    True            MRS fragment produced                   True               Included in MRS
idPlayerLeftHand_subgraph_idSideMirror_3        True            MRS fragment produced                   True               Included in MRS
idPlayerRightHand_subgraph_idPlayerRightHand_1  True            MRS fragment produced                   True               Included in MRS
idPlayerRightHand_subgraph_right_2              True            MRS fragment produced                   True               Included in MRS
idPlayer_subgraph_false_2                       True            MRS fragment produced                   False              Descends from failed edge
