EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     10              16             0.625

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idBottle1_subgraph               1630  Successfully generated
idBranch1_subgraph               2103  Successfully generated
idCave1_subgraph                   60  Successfully generated
idClearing1_subgraph                0  ERG did not generate
idGlowingArea1_subgraph           624  Successfully generated
idGlowingFlower1_subgraph          90  Successfully generated
idGlowingGrass1_subgraph            0  ERG did not generate
idGrass1_subgraph                   0  ERG did not generate
idPebble1_subgraph                700  Successfully generated
idPlayerBackside_subgraph         800  Successfully generated
idPlayerLeftHand_subgraph           0  Graph contains cycles
idPlayerRightHand_subgraph         96  Successfully generated
idPlayer_subgraph                2000  Successfully generated
idRockPile1_subgraph             1152  Successfully generated
idRockyArea1_subgraph               0  Graph contains cycles
idTheTrees1_subgraph                0  Graph contains cycles

Graph Component    Metric      Successful    Total    Coverage
idRockPile1_subgraph_grassy_9                   True            MRS fragment produced  True               Included in MRS
idRockPile1_subgraph_grey_2                     True            MRS fragment produced  True               Included in MRS
idRockPile1_subgraph_idCave_7                   True            MRS fragment produced  True               Included in MRS
idRockPile1_subgraph_idClearing_8               True            MRS fragment produced  True               Included in MRS
idRockPile1_subgraph_idRockPile_1               True            MRS fragment produced  True               Included in MRS
idRockPile1_subgraph_idRockyArea_5              True            MRS fragment produced  True               Included in MRS
idRockPile1_subgraph_rocky_6                    True            MRS fragment produced  True               Included in MRS
idRockPile1_subgraph_yes_4                      True            MRS fragment produced  True               Included in MRS

Edge                                         MRS Composed    Reason                                   Included in MRS    Reason
-------------------------------------------  --------------  ---------------------------------------  -----------------  ---------------------------------------
idBottle1_subgraph_idBottleFound_4           False           'idBottleFound' has no value in lexicon  False              'idBottleFound' has no value in lexicon
idBottle1_subgraph_idColor_3                 True            MRS composed                             True               Included in MRS
idBottle1_subgraph_idDescriptor_2            True            MRS composed                             True               Included in MRS
idBottle1_subgraph_idDescriptor_7            True            MRS composed                             True               Included in MRS
idBottle1_subgraph_idImmovable_6             True            MRS composed                             True               Included in MRS
