EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     13              15          0.866667

Graph Name                              Results  Reason
------------------------------------  ---------  ----------------------
idDesk1_subgraph                           1144  Successfully generated
idDrawer1_subgraph                          529  Successfully generated
idGameRoom1BackOpening_subgraph              30  Successfully generated
idGameRoom1_subgraph                        540  Successfully generated
idKeyBlue_subgraph                           20  Successfully generated
idPlayerBackside_subgraph                   288  Successfully generated
idPlayerLeftHand_subgraph                  1206  Successfully generated
idPlayerRightHand_subgraph                  215  Successfully generated
idPlayer_subgraph                             0  Graph contains cycles
idSign1Text_subgraph                         12  Successfully generated
idSign1_subgraph                            642  Successfully generated
idTutorialRoom1Door_subgraph                  0  Graph contains cycles
idTutorialRoom1FrontOpening_subgraph         30  Successfully generated
idTutorialRoom1_subgraph                   1571  Successfully generated
idWorld1_subgraph                          1508  Successfully generated

Graph Component    Metric      Successful    Total    Coverage
idDesk1_subgraph_isNorthOf_4                  True            MRS composed  True               Included in MRS
idDesk1_subgraph_isSouthOf_3                  True            MRS composed  True               Included in MRS
idDrawer1_subgraph_idColor_2                  True            MRS composed  True               Included in MRS
idDrawer1_subgraph_idOpenState_1              True            MRS composed  True               Included in MRS
idDrawer1_subgraph_idUnknownObject_3          True            MRS composed  True               Included in MRS
idDrawer1_subgraph_isBeneath_2                True            MRS composed  True               Included in MRS
idDrawer1_subgraph_isNear_4                   True            MRS composed  True               Included in MRS
idDrawer1_subgraph_isSouthOf_3                True            MRS composed  True               Included in MRS
idGameRoom1_subgraph_idUnknownObject_1        True            MRS composed  True               Included in MRS
idGameRoom1_subgraph_isNorthOf_2              True            MRS composed  True               Included in MRS
idKeyBlue_subgraph_idColor_1                  True            MRS composed  True               Included in MRS
idKeyBlue_subgraph_idUnknownObject_2          True            MRS composed  True               Included in MRS
idPlayerBackside_subgraph_isSouthOf_1         True            MRS composed  True               Included in MRS
idPlayerLeftHand_subgraph_idLocation_1        True            MRS composed  True               Included in MRS
idPlayerLeftHand_subgraph_idLockMechanism_3   True            MRS composed  True               Included in MRS
idPlayerLeftHand_subgraph_idOpenState_2       True            MRS composed  True               Included in MRS
idPlayerLeftHand_subgraph_isSouthOf_2         True            MRS composed  True               Included in MRS
idPlayerRightHand_subgraph_idLocation_1       True            MRS composed  True               Included in MRS
idPlayerRightHand_subgraph_idUnknownObject_2  True            MRS composed  True               Included in MRS
idPlayerRightHand_subgraph_isNear_3           True            MRS composed  True               Included in MRS
idPlayerRightHand_subgraph_isNorthOf_3        True            MRS composed  True               Included in MRS
idPlayerRightHand_subgraph_isSouthOf_2        True            MRS composed  True               Included in MRS
idSign1_subgraph_idImmovable_1                True            MRS composed  True               Included in MRS
idSign1_subgraph_idLockMechanism_4            True            MRS composed  True               Included in MRS
idSign1_subgraph_idOpenState_3                True            MRS composed  True               Included in MRS
idSign1_subgraph_idUnknownObject_2            True            MRS composed  True               Included in MRS
idSign1_subgraph_isNear_3                     True            MRS composed  True               Included in MRS
idSign1_subgraph_isNear_4                     True            MRS composed  True               Included in MRS
idSign1_subgraph_isNorthOf_5                  True            MRS composed  True               Included in MRS
idTutorialRoom1_subgraph_idColor_1            True            MRS composed  True               Included in MRS
idTutorialRoom1_subgraph_idUnknownObject_2    True            MRS composed  True               Included in MRS
idTutorialRoom1_subgraph_isInsideOf_3         True            MRS composed  True               Included in MRS
idTutorialRoom1_subgraph_isNear_3             True            MRS composed  True               Included in MRS
idWorld1_subgraph_idUnknownObject_1           True            MRS composed  True               Included in MRS
idWorld1_subgraph_isNear_1                    True            MRS composed  True               Included in MRS
idWorld1_subgraph_isNear_2                    True            MRS composed  True               Included in MRS
